ba_code,model,days,peak_ape,peak_hour_miss_pct
CISO,lgbm_global,366,2.445862501652338,3.825136612021858
CISO,lgbm_global+cqr,366,2.445862501652338,3.825136612021858
CISO,operator,366,1.7795113957862276,7.377049180327869
CISO,operator_debiased,366,1.8731668163857116,4.644808743169399
CISO,ridge,366,3.7913625908285984,2.459016393442623
CISO,ridge+cqr,366,3.7913625908285984,2.459016393442623
CISO,seasonal_naive,366,6.84642590192683,10.382513661202186
CISO,seasonal_naive+cqr,366,6.84642590192683,10.382513661202186
ERCO,lgbm_global,366,3.9584052650694943,23.224043715846996
ERCO,lgbm_global+cqr,366,3.9584052650694943,23.224043715846996
ERCO,operator,366,2.52392398401287,15.300546448087433
ERCO,operator_debiased,366,2.427905741054036,14.754098360655737
ERCO,ridge,366,5.00605590117637,24.863387978142075
ERCO,ridge+cqr,366,5.00605590117637,24.863387978142075
ERCO,seasonal_naive,366,8.577331268584516,34.69945355191257
ERCO,seasonal_naive+cqr,366,8.577331268584517,34.69945355191257
FPL,lgbm_global,356,4.138596321455231,27.52808988764045
FPL,lgbm_global+cqr,356,4.138596321455231,27.52808988764045
FPL,operator,356,2.762200368241242,20.50561797752809
FPL,operator_debiased,356,2.7094189394781814,16.853932584269664
FPL,ridge,356,5.825564283546193,22.47191011235955
FPL,ridge+cqr,356,5.825564283546193,22.47191011235955
FPL,seasonal_naive,356,9.183951501885366,35.39325842696629
FPL,seasonal_naive+cqr,356,9.183951501885366,35.39325842696629
ISNE,lgbm_global,366,3.859094449514456,7.923497267759563
ISNE,lgbm_global+cqr,366,3.859094449514456,7.923497267759563
ISNE,operator,366,1.4788597246248643,2.459016393442623
ISNE,operator_debiased,366,1.455125429835969,3.551912568306011
ISNE,ridge,366,5.594693235331888,4.098360655737705
ISNE,ridge+cqr,366,5.594693235331888,4.098360655737705
ISNE,seasonal_naive,366,8.266430243169415,7.923497267759563
ISNE,seasonal_naive+cqr,366,8.266430243169415,7.923497267759563
MISO,lgbm_global,366,2.7273416458891044,21.311475409836063
MISO,lgbm_global+cqr,366,2.7273416458891044,21.311475409836063
MISO,operator,366,2.95743280070415,9.289617486338798
MISO,operator_debiased,366,1.8160900790641465,9.836065573770492
MISO,ridge,366,4.092773044715604,27.86885245901639
MISO,ridge+cqr,366,4.092773044715604,27.86885245901639
MISO,seasonal_naive,366,7.643332048837962,31.967213114754102
MISO,seasonal_naive+cqr,366,7.643332048837962,31.967213114754102
NYIS,lgbm_global,365,3.09125896850617,11.232876712328768
NYIS,lgbm_global+cqr,365,3.0912589685061698,11.232876712328768
NYIS,operator,365,2.6865161359540064,5.7534246575342465
NYIS,operator_debiased,365,1.7531620276290296,5.47945205479452
NYIS,ridge,365,4.767366501012692,8.493150684931507
NYIS,ridge+cqr,365,4.767366501012692,8.493150684931507
NYIS,seasonal_naive,365,8.084149842716755,12.054794520547945
NYIS,seasonal_naive+cqr,365,8.084149842716755,12.054794520547945
PJM,lgbm_global,364,3.071668367136371,18.956043956043956
PJM,lgbm_global+cqr,364,3.0716683671363705,18.956043956043956
PJM,operator,364,1.7192138205905338,17.582417582417584
PJM,operator_debiased,364,1.8912830138461376,11.263736263736265
PJM,ridge,364,5.034622830750152,27.472527472527474
PJM,ridge+cqr,364,5.034622830750152,27.472527472527474
PJM,seasonal_naive,364,9.730997606021614,37.637362637362635
PJM,seasonal_naive+cqr,364,9.730997606021614,37.637362637362635
SOCO,lgbm_global,366,4.816044742594465,22.131147540983605
SOCO,lgbm_global+cqr,366,4.816044742594465,22.131147540983605
SOCO,operator,366,0.774697042337127,3.825136612021858
SOCO,operator_debiased,366,0.6530075577043806,4.371584699453552
SOCO,ridge,366,6.479208182043811,29.23497267759563
SOCO,ridge+cqr,366,6.479208182043811,29.23497267759563
SOCO,seasonal_naive,366,11.829821857727309,37.704918032786885
SOCO,seasonal_naive+cqr,366,11.829821857727309,37.704918032786885
SWPP,lgbm_global,366,3.8603148952549176,31.420765027322407
SWPP,lgbm_global+cqr,366,3.8603148952549176,31.420765027322407
SWPP,operator,366,3.027605361913298,15.846994535519126
SWPP,operator_debiased,366,3.0144576865538015,17.48633879781421
SWPP,ridge,366,5.275528778238013,33.060109289617486
SWPP,ridge+cqr,366,5.275528778238013,33.060109289617486
SWPP,seasonal_naive,366,9.541855993940407,37.15846994535519
SWPP,seasonal_naive+cqr,366,9.541855993940407,37.15846994535519
TVA,lgbm_global,366,4.7034464238413065,24.316939890710383
TVA,lgbm_global+cqr,366,4.7034464238413065,24.316939890710383
TVA,operator,366,2.527158766670313,12.841530054644808
TVA,operator_debiased,366,2.6651235232461272,13.661202185792352
TVA,ridge,366,6.927665697312845,29.78142076502732
TVA,ridge+cqr,366,6.927665697312845,29.78142076502732
TVA,seasonal_naive,366,12.516804389478592,45.62841530054645
TVA,seasonal_naive+cqr,366,12.516804389478592,45.62841530054645
